ENSG00000065320.8|NTN1	ENSG00000065320.8	NTN1
ENSG00000065325.12|GLP2R	ENSG00000065325.12	GLP2R
ENSG00000065328.16|MCM10	ENSG00000065328.16	MCM10
ENSG00000065357.19|DGKA	ENSG00000065357.19	DGKA
ENSG00000065413.18|ANKRD44	ENSG00000065413.18	ANKRD44
ENSG00000065618.18|COL17A1	ENSG00000065618.18	COL17A1
ENSG00000065675.14|PRKCQ	ENSG00000065675.14	PRKCQ
ENSG00000065717.14|TLE2	ENSG00000065717.14	TLE2
ENSG00000065911.11|MTHFD2	ENSG00000065911.11	MTHFD2
ENSG00000065989.15|PDE4A	ENSG00000065989.15	PDE4A
ENSG00000066185.12|ZMYND12	ENSG00000066185.12	ZMYND12
ENSG00000066248.14|NGEF	ENSG00000066248.14	NGEF
ENSG00000066279.17|ASPM	ENSG00000066279.17	ASPM
ENSG00000066294.14|CD84	ENSG00000066294.14	CD84
ENSG00000066336.11|SPI1	ENSG00000066336.11	SPI1
ENSG00000066468.22|FGFR2	ENSG00000066468.22	FGFR2
ENSG00000066735.14|KIF26A	ENSG00000066735.14	KIF26A
ENSG00000066813.14|ACSM2B	ENSG00000066813.14	ACSM2B
ENSG00000067064.10|IDI1	ENSG00000067064.10	IDI1
ENSG00000067225.17|PKM	ENSG00000067225.17	PKM
ENSG00000067445.20|TRO	ENSG00000067445.20	TRO
ENSG00000067840.12|PDZD4	ENSG00000067840.12	PDZD4
ENSG00000068078.17|FGFR3	ENSG00000068078.17	FGFR3
ENSG00000068366.19|ACSL4	ENSG00000068366.19	ACSL4
ENSG00000068489.12|PRR11	ENSG00000068489.12	PRR11
ENSG00000068781.21|STON1-GTF2A1L	ENSG00000068781.21	STON1-GTF2A1L
ENSG00000068831.18|RASGRP2	ENSG00000068831.18	RASGRP2
ENSG00000068976.13|PYGM	ENSG00000068976.13	PYGM
ENSG00000069011.15|PITX1	ENSG00000069011.15	PITX1
ENSG00000069188.16|SDK2	ENSG00000069188.16	SDK2
ENSG00000069431.11|ABCC9	ENSG00000069431.11	ABCC9
ENSG00000069535.13|MAOB	ENSG00000069535.13	MAOB
ENSG00000069696.6|DRD4	ENSG00000069696.6	DRD4
ENSG00000069812.11|HES2	ENSG00000069812.11	HES2
ENSG00000069849.10|ATP1B3	ENSG00000069849.10	ATP1B3
ENSG00000069869.15|NEDD4	ENSG00000069869.15	NEDD4
ENSG00000070019.4|GUCY2C	ENSG00000070019.4	GUCY2C
ENSG00000070190.12|DAPP1	ENSG00000070190.12	DAPP1
ENSG00000070404.9|FSTL3	ENSG00000070404.9	FSTL3
ENSG00000070526.14|ST6GALNAC1	ENSG00000070526.14	ST6GALNAC1
ENSG00000070601.9|FRMPD1	ENSG00000070601.9	FRMPD1
ENSG00000070669.16|ASNS	ENSG00000070669.16	ASNS
ENSG00000070731.10|ST6GALNAC2	ENSG00000070731.10	ST6GALNAC2
ENSG00000070756.15|PABPC1	ENSG00000070756.15	PABPC1
ENSG00000070808.15|CAMK2A	ENSG00000070808.15	CAMK2A
ENSG00000070882.12|OSBPL3	ENSG00000070882.12	OSBPL3
ENSG00000070915.9|SLC12A3	ENSG00000070915.9	SLC12A3
ENSG00000071205.11|ARHGAP10	ENSG00000071205.11	ARHGAP10
ENSG00000071242.11|RPS6KA2	ENSG00000071242.11	RPS6KA2
ENSG00000071539.13|TRIP13	ENSG00000071539.13	TRIP13
ENSG00000071794.15|HLTF	ENSG00000071794.15	HLTF
ENSG00000071991.8|CDH19	ENSG00000071991.8	CDH19
ENSG00000072071.16|ADGRL1	ENSG00000072071.16	ADGRL1
ENSG00000072080.10|SPP2	ENSG00000072080.10	SPP2
ENSG00000072133.10|RPS6KA6	ENSG00000072133.10	RPS6KA6
ENSG00000072163.19|LIMS2	ENSG00000072163.19	LIMS2
ENSG00000072182.12|ASIC4	ENSG00000072182.12	ASIC4
ENSG00000072195.14|SPEG	ENSG00000072195.14	SPEG
ENSG00000072201.13|LNX1	ENSG00000072201.13	LNX1
ENSG00000072274.12|TFRC	ENSG00000072274.12	TFRC
ENSG00000072310.16|SREBF1	ENSG00000072310.16	SREBF1
ENSG00000072315.3|TRPC5	ENSG00000072315.3	TRPC5
ENSG00000072422.16|RHOBTB1	ENSG00000072422.16	RHOBTB1
ENSG00000072571.19|HMMR	ENSG00000072571.19	HMMR
ENSG00000072682.18|P4HA2	ENSG00000072682.18	P4HA2
ENSG00000072694.20|FCGR2B	ENSG00000072694.20	FCGR2B
ENSG00000072786.12|STK10	ENSG00000072786.12	STK10
ENSG00000072818.11|ACAP1	ENSG00000072818.11	ACAP1
ENSG00000072840.12|EVC	ENSG00000072840.12	EVC
ENSG00000072858.10|SIDT1	ENSG00000072858.10	SIDT1
ENSG00000073111.13|MCM2	ENSG00000073111.13	MCM2
ENSG00000073146.15|MOV10L1	ENSG00000073146.15	MOV10L1
ENSG00000073169.13|SELENOO	ENSG00000073169.13	SELENOO
ENSG00000073605.18|GSDMB	ENSG00000073605.18	GSDMB
ENSG00000073734.8|ABCB11	ENSG00000073734.8	ABCB11
ENSG00000073754.5|CD5L	ENSG00000073754.5	CD5L
ENSG00000073756.11|PTGS2	ENSG00000073756.11	PTGS2
ENSG00000073792.15|IGF2BP2	ENSG00000073792.15	IGF2BP2
ENSG00000073849.14|ST6GAL1	ENSG00000073849.14	ST6GAL1
ENSG00000073861.2|TBX21	ENSG00000073861.2	TBX21
ENSG00000073905.8|VDAC1P1	ENSG00000073905.8	VDAC1P1
ENSG00000074047.21|GLI2	ENSG00000074047.21	GLI2
ENSG00000074181.8|NOTCH3	ENSG00000074181.8	NOTCH3
ENSG00000074211.13|PPP2R2C	ENSG00000074211.13	PPP2R2C
ENSG00000074219.13|TEAD2	ENSG00000074219.13	TEAD2
ENSG00000074276.10|CDHR2	ENSG00000074276.10	CDHR2
ENSG00000074370.17|ATP2A3	ENSG00000074370.17	ATP2A3
ENSG00000074410.13|CA12	ENSG00000074410.13	CA12
ENSG00000074416.13|MGLL	ENSG00000074416.13	MGLL
ENSG00000074657.13|ZNF532	ENSG00000074657.13	ZNF532
ENSG00000074706.13|IPCEF1	ENSG00000074706.13	IPCEF1
ENSG00000074800.13|ENO1	ENSG00000074800.13	ENO1
ENSG00000074964.16|ARHGEF10L	ENSG00000074964.16	ARHGEF10L
ENSG00000074966.10|TXK	ENSG00000074966.10	TXK
ENSG00000075218.18|GTSE1	ENSG00000075218.18	GTSE1
ENSG00000075234.16|TTC38	ENSG00000075234.16	TTC38
ENSG00000075239.13|ACAT1	ENSG00000075239.13	ACAT1
ENSG00000075340.22|ADD2	ENSG00000075340.22	ADD2
ENSG00000075461.5|CACNG4	ENSG00000075461.5	CACNG4
ENSG00000075702.16|WDR62	ENSG00000075702.16	WDR62
ENSG00000075826.16|SEC31B	ENSG00000075826.16	SEC31B
ENSG00000075884.13|ARHGAP15	ENSG00000075884.13	ARHGAP15
ENSG00000076258.9|FMO4	ENSG00000076258.9	FMO4
ENSG00000076344.15|RGS11	ENSG00000076344.15	RGS11
ENSG00000076382.16|SPAG5	ENSG00000076382.16	SPAG5
ENSG00000076555.15|ACACB	ENSG00000076555.15	ACACB
ENSG00000076770.14|MBNL3	ENSG00000076770.14	MBNL3
ENSG00000076928.17|ARHGEF1	ENSG00000076928.17	ARHGEF1
ENSG00000077063.10|CTTNBP2	ENSG00000077063.10	CTTNBP2
ENSG00000077152.9|UBE2T	ENSG00000077152.9	UBE2T
ENSG00000077238.13|IL4R	ENSG00000077238.13	IL4R
ENSG00000077274.8|CAPN6	ENSG00000077274.8	CAPN6
ENSG00000077279.18|DCX	ENSG00000077279.18	DCX
ENSG00000077327.15|SPAG6	ENSG00000077327.15	SPAG6
ENSG00000077420.15|APBB1IP	ENSG00000077420.15	APBB1IP
ENSG00000077522.12|ACTN2	ENSG00000077522.12	ACTN2
ENSG00000077616.10|NAALAD2	ENSG00000077616.10	NAALAD2
ENSG00000077782.19|FGFR1	ENSG00000077782.19	FGFR1
ENSG00000077935.16|SMC1B	ENSG00000077935.16	SMC1B
ENSG00000077943.7|ITGA8	ENSG00000077943.7	ITGA8
ENSG00000077984.5|CST7	ENSG00000077984.5	CST7
ENSG00000078018.19|MAP2	ENSG00000078018.19	MAP2
ENSG00000078053.16|AMPH	ENSG00000078053.16	AMPH
ENSG00000078098.13|FAP	ENSG00000078098.13	FAP
ENSG00000078114.18|NEBL	ENSG00000078114.18	NEBL
ENSG00000078328.19|RBFOX1	ENSG00000078328.19	RBFOX1
ENSG00000078399.17|HOXA9	ENSG00000078399.17	HOXA9
ENSG00000078589.12|P2RY10	ENSG00000078589.12	P2RY10
ENSG00000078725.12|BRINP1	ENSG00000078725.12	BRINP1
ENSG00000078898.6|BPIFB2	ENSG00000078898.6	BPIFB2
ENSG00000078900.14|TP73	ENSG00000078900.14	TP73
ENSG00000079101.16|CLUL1	ENSG00000079101.16	CLUL1
ENSG00000079102.16|RUNX1T1	ENSG00000079102.16	RUNX1T1
ENSG00000079112.9|CDH17	ENSG00000079112.9	CDH17
ENSG00000079156.16|OSBPL6	ENSG00000079156.16	OSBPL6
ENSG00000079263.18|SP140	ENSG00000079263.18	SP140
ENSG00000079308.16|TNS1	ENSG00000079308.16	TNS1
ENSG00000079462.7|PAFAH1B3	ENSG00000079462.7	PAFAH1B3
ENSG00000079482.12|OPHN1	ENSG00000079482.12	OPHN1
ENSG00000079557.4|AFM	ENSG00000079557.4	AFM
ENSG00000079689.13|SCGN	ENSG00000079689.13	SCGN
ENSG00000080031.9|PTPRH	ENSG00000080031.9	PTPRH
ENSG00000080166.15|DCT	ENSG00000080166.15	DCT
ENSG00000080293.9|SCTR	ENSG00000080293.9	SCTR
ENSG00000080493.15|SLC4A4	ENSG00000080493.15	SLC4A4
ENSG00000080618.13|CPB2	ENSG00000080618.13	CPB2
ENSG00000080644.15|CHRNA3	ENSG00000080644.15	CHRNA3
ENSG00000080709.14|KCNN2	ENSG00000080709.14	KCNN2
ENSG00000080910.11|CFHR2	ENSG00000080910.11	CFHR2
ENSG00000080986.12|NDC80	ENSG00000080986.12	NDC80
ENSG00000081041.8|CXCL2	ENSG00000081041.8	CXCL2
ENSG00000081052.11|COL4A4	ENSG00000081052.11	COL4A4
ENSG00000081148.11|IMPG2	ENSG00000081148.11	IMPG2
ENSG00000081237.18|PTPRC	ENSG00000081237.18	PTPRC
ENSG00000081248.10|CACNA1S	ENSG00000081248.10	CACNA1S
ENSG00000081277.12|PKP1	ENSG00000081277.12	PKP1
ENSG00000081377.16|CDC14B	ENSG00000081377.16	CDC14B
ENSG00000081842.17|PCDHA6	ENSG00000081842.17	PCDHA6
ENSG00000082014.16|SMARCD3	ENSG00000082014.16	SMARCD3
ENSG00000082074.15|FYB	ENSG00000082074.15	FYB
ENSG00000082175.14|PGR	ENSG00000082175.14	PGR
ENSG00000082293.12|COL19A1	ENSG00000082293.12	COL19A1
ENSG00000082397.17|EPB41L3	ENSG00000082397.17	EPB41L3
ENSG00000082438.15|COBLL1	ENSG00000082438.15	COBLL1
ENSG00000082512.14|TRAF5	ENSG00000082512.14	TRAF5
ENSG00000082684.14|SEMA5B	ENSG00000082684.14	SEMA5B
ENSG00000083123.14|BCKDHB	ENSG00000083123.14	BCKDHB
ENSG00000083290.19|ULK2	ENSG00000083290.19	ULK2
ENSG00000083307.10|GRHL2	ENSG00000083307.10	GRHL2
ENSG00000083454.21|P2RX5	ENSG00000083454.21	P2RX5
ENSG00000083457.11|ITGAE	ENSG00000083457.11	ITGAE
ENSG00000083807.9|SLC27A5	ENSG00000083807.9	SLC27A5
ENSG00000083857.13|FAT1	ENSG00000083857.13	FAT1
ENSG00000084110.10|HAL	ENSG00000084110.10	HAL
ENSG00000084453.16|SLCO1A2	ENSG00000084453.16	SLCO1A2
ENSG00000084674.14|APOB	ENSG00000084674.14	APOB
ENSG00000084731.14|KIF3C	ENSG00000084731.14	KIF3C
ENSG00000084734.8|GCKR	ENSG00000084734.8	GCKR
ENSG00000085265.10|FCN1	ENSG00000085265.10	FCN1
ENSG00000085276.17|MECOM	ENSG00000085276.17	MECOM
