ENSG00000070526.14|ST6GALNAC1	ENSG00000070526.14	ST6GALNAC1
ENSG00000070601.9|FRMPD1	ENSG00000070601.9	FRMPD1
ENSG00000070731.10|ST6GALNAC2	ENSG00000070731.10	ST6GALNAC2
ENSG00000070808.15|CAMK2A	ENSG00000070808.15	CAMK2A
ENSG00000070915.9|SLC12A3	ENSG00000070915.9	SLC12A3
ENSG00000071539.13|TRIP13	ENSG00000071539.13	TRIP13
ENSG00000071991.8|CDH19	ENSG00000071991.8	CDH19
ENSG00000072080.10|SPP2	ENSG00000072080.10	SPP2
ENSG00000072133.10|RPS6KA6	ENSG00000072133.10	RPS6KA6
ENSG00000072195.14|SPEG	ENSG00000072195.14	SPEG
ENSG00000072315.3|TRPC5	ENSG00000072315.3	TRPC5
ENSG00000072571.19|HMMR	ENSG00000072571.19	HMMR
ENSG00000072694.20|FCGR2B	ENSG00000072694.20	FCGR2B
ENSG00000072840.12|EVC	ENSG00000072840.12	EVC
ENSG00000072858.10|SIDT1	ENSG00000072858.10	SIDT1
ENSG00000073111.13|MCM2	ENSG00000073111.13	MCM2
ENSG00000073146.15|MOV10L1	ENSG00000073146.15	MOV10L1
ENSG00000073734.8|ABCB11	ENSG00000073734.8	ABCB11
ENSG00000073754.5|CD5L	ENSG00000073754.5	CD5L
ENSG00000073756.11|PTGS2	ENSG00000073756.11	PTGS2
ENSG00000073792.15|IGF2BP2	ENSG00000073792.15	IGF2BP2
ENSG00000073861.2|TBX21	ENSG00000073861.2	TBX21
ENSG00000074047.21|GLI2	ENSG00000074047.21	GLI2
ENSG00000074211.13|PPP2R2C	ENSG00000074211.13	PPP2R2C
ENSG00000074276.10|CDHR2	ENSG00000074276.10	CDHR2
ENSG00000074370.17|ATP2A3	ENSG00000074370.17	ATP2A3
ENSG00000074410.13|CA12	ENSG00000074410.13	CA12
ENSG00000074706.13|IPCEF1	ENSG00000074706.13	IPCEF1
ENSG00000075218.18|GTSE1	ENSG00000075218.18	GTSE1
ENSG00000075461.5|CACNG4	ENSG00000075461.5	CACNG4
ENSG00000075702.16|WDR62	ENSG00000075702.16	WDR62
ENSG00000075884.13|ARHGAP15	ENSG00000075884.13	ARHGAP15
ENSG00000076258.9|FMO4	ENSG00000076258.9	FMO4
ENSG00000076344.15|RGS11	ENSG00000076344.15	RGS11
ENSG00000076770.14|MBNL3	ENSG00000076770.14	MBNL3
ENSG00000077063.10|CTTNBP2	ENSG00000077063.10	CTTNBP2
ENSG00000077152.9|UBE2T	ENSG00000077152.9	UBE2T
ENSG00000077274.8|CAPN6	ENSG00000077274.8	CAPN6
ENSG00000077279.18|DCX	ENSG00000077279.18	DCX
ENSG00000077327.15|SPAG6	ENSG00000077327.15	SPAG6
ENSG00000077522.12|ACTN2	ENSG00000077522.12	ACTN2
ENSG00000078018.19|MAP2	ENSG00000078018.19	MAP2
ENSG00000078053.16|AMPH	ENSG00000078053.16	AMPH
ENSG00000078098.13|FAP	ENSG00000078098.13	FAP
ENSG00000078114.18|NEBL	ENSG00000078114.18	NEBL
ENSG00000078328.19|RBFOX1	ENSG00000078328.19	RBFOX1
ENSG00000078399.17|HOXA9	ENSG00000078399.17	HOXA9
ENSG00000078589.12|P2RY10	ENSG00000078589.12	P2RY10
ENSG00000078725.12|BRINP1	ENSG00000078725.12	BRINP1
ENSG00000078898.6|BPIFB2	ENSG00000078898.6	BPIFB2
ENSG00000079101.16|CLUL1	ENSG00000079101.16	CLUL1
ENSG00000079112.9|CDH17	ENSG00000079112.9	CDH17
ENSG00000079156.16|OSBPL6	ENSG00000079156.16	OSBPL6
ENSG00000079263.18|SP140	ENSG00000079263.18	SP140
ENSG00000079462.7|PAFAH1B3	ENSG00000079462.7	PAFAH1B3
ENSG00000079557.4|AFM	ENSG00000079557.4	AFM
ENSG00000079689.13|SCGN	ENSG00000079689.13	SCGN
ENSG00000080166.15|DCT	ENSG00000080166.15	DCT
ENSG00000080293.9|SCTR	ENSG00000080293.9	SCTR
ENSG00000080493.15|SLC4A4	ENSG00000080493.15	SLC4A4
ENSG00000080618.13|CPB2	ENSG00000080618.13	CPB2
ENSG00000080644.15|CHRNA3	ENSG00000080644.15	CHRNA3
ENSG00000080910.11|CFHR2	ENSG00000080910.11	CFHR2
ENSG00000080986.12|NDC80	ENSG00000080986.12	NDC80
ENSG00000081041.8|CXCL2	ENSG00000081041.8	CXCL2
ENSG00000081052.11|COL4A4	ENSG00000081052.11	COL4A4
ENSG00000081237.18|PTPRC	ENSG00000081237.18	PTPRC
ENSG00000081248.10|CACNA1S	ENSG00000081248.10	CACNA1S
ENSG00000081277.12|PKP1	ENSG00000081277.12	PKP1
ENSG00000081842.17|PCDHA6	ENSG00000081842.17	PCDHA6
ENSG00000082074.15|FYB	ENSG00000082074.15	FYB
ENSG00000082175.14|PGR	ENSG00000082175.14	PGR
ENSG00000082293.12|COL19A1	ENSG00000082293.12	COL19A1
ENSG00000082397.17|EPB41L3	ENSG00000082397.17	EPB41L3
ENSG00000083307.10|GRHL2	ENSG00000083307.10	GRHL2
ENSG00000083454.21|P2RX5	ENSG00000083454.21	P2RX5
ENSG00000083807.9|SLC27A5	ENSG00000083807.9	SLC27A5
ENSG00000084110.10|HAL	ENSG00000084110.10	HAL
ENSG00000084453.16|SLCO1A2	ENSG00000084453.16	SLCO1A2
ENSG00000085265.10|FCN1	ENSG00000085265.10	FCN1
ENSG00000085491.15|SLC25A24	ENSG00000085491.15	SLC25A24
