gene	gene	class
CD302	CD302	3
CD81	CD81	3
CECR1	CECR1	3
CES1	CES1	3
CFB	CFB	3
CFH	CFH	3
CGREF1	CGREF1	3
CNGA1	CNGA1	3
COL18A1	COL18A1	3
COX5B	COX5B	3
CP	CP	3
CPA3	CPA3	3
CPA4	CPA4	3
CPB2	CPB2	3
CPS1	CPS1	3
CRABP1	CRABP1	3
CRYAA	CRYAA	3
CRYM	CRYM	3
CSTB	CSTB	3
CTH	CTH	3
CTSO	CTSO	3
CXCL2	CXCL2	3
CYB5A	CYB5A	3
CYFIP2	CYFIP2	3
CYP21A2	CYP21A2	3
CYP27A1	CYP27A1	3
CYP2C9	CYP2C9	3
CYP2J2	CYP2J2	3
CYP3A7	CYP3A7	3
DAO	DAO	3
DCAF8	DCAF8	3
DECR1	DECR1	3
DNASE1L3	DNASE1L3	3
DPAGT1	DPAGT1	3
DRG2	DRG2	3
ECHS1	ECHS1	3
ECI1	ECI1	3
EDNRB	EDNRB	3
EGFR	EGFR	3
EHHADH	EHHADH	3
EMP2	EMP2	3
EPAS1	EPAS1	3
EPHX1	EPHX1	3
ETS2	ETS2	3
F11	F11	3
F2	F2	3
F5	F5	3
FAH	FAH	3
FANCA	FANCA	3
FGB	FGB	3
FGG	FGG	3
FH	FH	3
FKBP2	FKBP2	3
FLT4	FLT4	3
FMO4	FMO4	3
FOXO1	FOXO1	3
FXR2	FXR2	3
GCH1	GCH1	3
GCHFR	GCHFR	3
GCKR	GCKR	3
GGH	GGH	3
GHR	GHR	3
GJB1	GJB1	3
GLYAT	GLYAT	3
GOT2	GOT2	3
GPT	GPT	3
GPX2	GPX2	3
GPX3	GPX3	3
GSTA2	GSTA2	3
GSTO1	GSTO1	3
GSTZ1	GSTZ1	3
HAAO	HAAO	3
HADH	HADH	3
HGD	HGD	3
HMGCS2	HMGCS2	3
HMOX2	HMOX2	3
HPD	HPD	3
HRG	HRG	3
RIDA	RIDA	3
HSD17B10	HSD17B10	3
HSD17B4	HSD17B4	3
ICAM3	ICAM3	3
IDH2	IDH2	3
IDH3A	IDH3A	3
IFIT1	IFIT1	3
IGF1	IGF1	3
IL13RA1	IL13RA1	3
IL32	IL32	3
IL6R	IL6R	3
IMPA1	IMPA1	3
INSR	INSR	3
IQGAP2	IQGAP2	3
ISG15	ISG15	3
ITIH1	ITIH1	3
ITIH3	ITIH3	3
ITIH4	ITIH4	3
ITPR2	ITPR2	3
IVD	IVD	3
KCNJ8	KCNJ8	3
KLKB1	KLKB1	3
KMO	KMO	3
KNG1	KNG1	3
LCAT	LCAT	3
LONP1	LONP1	3
LPIN1	LPIN1	3
LPIN2	LPIN2	3
MAOA	MAOA	3
MAOB	MAOB	3
MAPRE3	MAPRE3	3
MGST2	MGST2	3
MME	MME	3
MSMO1	MSMO1	3
MT2A	MT2A	3
MTHFD1	MTHFD1	3
MTHFS	MTHFS	3
MUT	MUT	3
MYLK	MYLK	3
MYO1E	MYO1E	3
NDUFV2	NDUFV2	3
NFIB	NFIB	3
NFIC	NFIC	3
NFKBIA	NFKBIA	3
NNMT	NNMT	3
NRG1	NRG1	3
PAH	PAH	3
PAPSS2	PAPSS2	3
PCCA	PCCA	3
PCCB	PCCB	3
PCK1	PCK1	3
PCK2	PCK2	3
PDK4	PDK4	3
PGM1	PGM1	3
PGRMC1	PGRMC1	3
PIK3R1	PIK3R1	3
PKLR	PKLR	3
PLA2G2A	PLA2G2A	3
PLCG2	PLCG2	3
PLG	PLG	3
PLGLB2	PLGLB2	3
PNPLA4	PNPLA4	3
POLD4	POLD4	3
PON3	PON3	3
PPP2R1B	PPP2R1B	3
PROS1	PROS1	3
PTGR1	PTGR1	3
PTS	PTS	3
QDPR	QDPR	3
RARRES2	RARRES2	3
RBP5	RBP5	3
RGN	RGN	3
RHOB	RHOB	3
RNASE4	RNASE4	3
SBDS	SBDS	3
SDC1	SDC1	3
SDHB	SDHB	3
SDS	SDS	3
SELENBP1	SELENBP1	3
SELENOP	SELENOP	3
SERPINA3	SERPINA3	3
SERPINA6	SERPINA6	3
SERPINC1	SERPINC1	3
SERPING1	SERPING1	3
SHB	SHB	3
SHMT1	SHMT1	3
SLC10A1	SLC10A1	3
SLC16A2	SLC16A2	3
SLC23A1	SLC23A1	3
SLC23A2	SLC23A2	3
SLC2A2	SLC2A2	3
SLC35D1	SLC35D1	3
SLC6A1	SLC6A1	3
SLC6A12	SLC6A12	3
SLC7A2	SLC7A2	3
SLC9A3R2	SLC9A3R2	3
SLCO2A1	SLCO2A1	3
SLPI	SLPI	3
SMARCA2	SMARCA2	3
SOAT1	SOAT1	3
SOD1	SOD1	3
SOD2	SOD2	3
SORL1	SORL1	3
SPAM1	SPAM1	3
SPARCL1	SPARCL1	3
SRD5A1	SRD5A1	3
SREBF1	SREBF1	3
SULT2A1	SULT2A1	3
TCEA2	TCEA2	3
TDO2	TDO2	3
TGFBR3	TGFBR3	3
TINAGL1	TINAGL1	3
TJP2	TJP2	3
TMBIM6	TMBIM6	3
TMOD1	TMOD1	3
TOB1	TOB1	3
TPMT	TPMT	3
TST	TST	3
UQCRB	UQCRB	3
VSIG2	VSIG2	3
ZNF160	ZNF160	3
