gene	gene	class
PLEKHG4	PLEKHG4	1
PLP2	PLP2	1
PLXDC1	PLXDC1	1
PLXNA1	PLXNA1	1
PLXND1	PLXND1	1
PMEPA1	PMEPA1	1
PMP22	PMP22	1
PNMA1	PNMA1	1
PNMAL1	PNMAL1	1
PODN	PODN	1
PLPP2	PLPP2	1
PPP1R9B	PPP1R9B	1
PPP2R2C	PPP2R2C	1
PRDM16	PRDM16	1
PRKX	PRKX	1
PRMT2	PRMT2	1
PRRX2	PRRX2	1
PRSS22	PRSS22	1
PTGDS	PTGDS	1
PTGIR	PTGIR	1
PTK7	PTK7	1
PTP4A3	PTP4A3	1
PTPRS	PTPRS	1
NECTIN2	NECTIN2	1
PWWP2B	PWWP2B	1
QSOX1	QSOX1	1
RAB11A	RAB11A	1
RAB31	RAB31	1
RAB34	RAB34	1
RAB3D	RAB3D	1
RAB3IL1	RAB3IL1	1
RAP1GAP2	RAP1GAP2	1
RASA3	RASA3	1
RASAL1	RASAL1	1
RASGEF1A	RASGEF1A	1
RBM38	RBM38	1
RGS10	RGS10	1
RGS19	RGS19	1
RHOV	RHOV	1
RNF145	RNF145	1
RPP25	RPP25	1
RUNDC3A	RUNDC3A	1
RYR1	RYR1	1
S100A6	S100A6	1
SAMD11	SAMD11	1
SCN3B	SCN3B	1
SDC3	SDC3	1
SEL1L3	SEL1L3	1
SEMA3C	SEMA3C	1
SEMA4C	SEMA4C	1
SEPT5	SEPT5	1
SELENOW	SELENOW	1
SERPINE2	SERPINE2	1
SERPINH1	SERPINH1	1
SFRP5	SFRP5	1
SFXN3	SFXN3	1
SH3BP1	SH3BP1	1
SHISA2	SHISA2	1
SIGLEC8	SIGLEC8	1
SLC22A17	SLC22A17	1
SLC25A6	SLC25A6	1
SLC34A2	SLC34A2	1
SLC35F3	SLC35F3	1
SLC44A2	SLC44A2	1
SLC45A4	SLC45A4	1
SLC4A11	SLC4A11	1
SLC4A3	SLC4A3	1
SLC6A6	SLC6A6	1
SLC7A1	SLC7A1	1
SLC7A7	SLC7A7	1
SLCO4A1	SLCO4A1	1
PRELID3A	PRELID3A	1
SMARCD3	SMARCD3	1
SMOX	SMOX	1
SOX4	SOX4	1
SOX9	SOX9	1
SPARC	SPARC	1
SPHK1	SPHK1	1
SPINT1	SPINT1	1
SPINT2	SPINT2	1
SPIRE1	SPIRE1	1
SRC	SRC	1
SRRM3	SRRM3	1
SSBP2	SSBP2	1
SSC5D	SSC5D	1
SSPN	SSPN	1
SSTR5	SSTR5	1
STK32C	STK32C	1
STMN2	STMN2	1
STMN3	STMN3	1
SULF2	SULF2	1
SYDE1	SYDE1	1
SYNGR1	SYNGR1	1
SYNGR3	SYNGR3	1
SYT13	SYT13	1
TAGLN	TAGLN	1
TANC2	TANC2	1
TAX1BP3	TAX1BP3	1
TBKBP1	TBKBP1	1
TBX1	TBX1	1
TEAD2	TEAD2	1
TEAD4	TEAD4	1
TESC	TESC	1
TGFA	TGFA	1
TGFB1	TGFB1	1
TGFB3	TGFB3	1
TGIF2	TGIF2	1
THBS2	THBS2	1
THY1	THY1	1
TIMP1	TIMP1	1
TIMP2	TIMP2	1
TMC6	TMC6	1
TMED3	TMED3	1
TMEM119	TMEM119	1
TMEM132A	TMEM132A	1
TMEM136	TMEM136	1
TMEM44	TMEM44	1
TMEM51	TMEM51	1
TMSB10	TMSB10	1
TP53I11	TP53I11	1
TPM2	TPM2	1
TPM4	TPM4	1
TRIM17	TRIM17	1
TRPV4	TRPV4	1
TTYH1	TTYH1	1
TTYH2	TTYH2	1
TUBB6	TUBB6	1
TYRO3	TYRO3	1
UAP1L1	UAP1L1	1
UNC5B	UNC5B	1
VANGL2	VANGL2	1
VASH1	VASH1	1
VASP	VASP	1
VCAN	VCAN	1
VEGFB	VEGFB	1
VIM	VIM	1
WNK2	WNK2	1
WNT7B	WNT7B	1
WTIP	WTIP	1
YWHAZ	YWHAZ	1
ZDHHC13	ZDHHC13	1
ZDHHC8P1	ZDHHC8P1	1
ZNF469	ZNF469	1
ZNF532	ZNF532	1
ZNF853	ZNF853	1
ABCB4	ABCB4	2
ACSM2A	ACSM2A	2
AQP9	AQP9	2
ASPDH	ASPDH	2
SPRYD7	SPRYD7	2
ACKR2	ACKR2	2
CCDC152	CCDC152	2
CCL15-CCL14	CCL15-CCL14	2
CCL16	CCL16	2
CDO1	CDO1	2
COG3	COG3	2
CYB5A	CYB5A	2
CYP11A1	CYP11A1	2
ECHS1	ECHS1	2
F9	F9	2
EVA1A	EVA1A	2
FMO3	FMO3	2
GFRA1	GFRA1	2
GYS2	GYS2	2
HADH	HADH	2
HAO1	HAO1	2
ETFRF1	ETFRF1	2
MOGAT2	MOGAT2	2
MRPS31	MRPS31	2
SLC9B2	SLC9B2	2
PEMT	PEMT	2
PFKFB1	PFKFB1	2
RIPPLY1	RIPPLY1	2
SLC13A5	SLC13A5	2
SLC25A42	SLC25A42	2
SLC27A5	SLC27A5	2
TM6SF2	TM6SF2	2
AKR1C8P	AKR1C8P	3
ANKRD20A8P	ANKRD20A8P	3
DPH6	DPH6	3
BAIAP3	BAIAP3	3
BBS9	BBS9	3
C12orf56	C12orf56	3
C16orf58	C16orf58	3
EFCAB13	EFCAB13	3
TMEM241	TMEM241	3
LINC00471	LINC00471	3
C3orf18	C3orf18	3
C3orf67	C3orf67	3
C5orf58	C5orf58	3
CARD18	CARD18	3
CHRM3	CHRM3	3
CNTNAP4	CNTNAP4	3
COX7B2	COX7B2	3
CSAG1	CSAG1	3
CSAG3	CSAG3	3
CSMD1	CSMD1	3
CT47B1	CT47B1	3
CTAG2	CTAG2	3
DCAF4L2	DCAF4L2	3
DCAF8L1	DCAF8L1	3
DCAF8L2	DCAF8L2	3
DDX53	DDX53	3
DSCR4	DSCR4	3
DSCR8	DSCR8	3
FAM133A	FAM133A	3
FAM184A	FAM184A	3
FAM76A	FAM76A	3
FBXO48	FBXO48	3
FER	FER	3
FGGY	FGGY	3
FRG1BP	FRG1BP	3
FSTL5	FSTL5	3
GABRA3	GABRA3	3
GAS2	GAS2	3
GPR158	GPR158	3
GTSF1	GTSF1	3
LINC00339	LINC00339	3
KLHL31	KLHL31	3
LINC00689	LINC00689	3
LINC00667	LINC00667	3
LINC01139	LINC01139	3
AP005901.1	AP005901.1	3
MAGEA12	MAGEA12	3
MAGEA1	MAGEA1	3
MAGEA3	MAGEA3	3
MAGEA6	MAGEA6	3
MAGEB1	MAGEB1	3
MAGEB2	MAGEB2	3
MAGEC1	MAGEC1	3
MAGEC2	MAGEC2	3
MDGA2	MDGA2	3
MKRN3	MKRN3	3
MNS1	MNS1	3
MUC15	MUC15	3
NAA11	NAA11	3
NAP1L2	NAP1L2	3
NAP1L6	NAP1L6	3
NKAIN2	NKAIN2	3
OLFM3	OLFM3	3
PAGE5	PAGE5	3
PHF7	PHF7	3
PIGK	PIGK	3
PRDM9	PRDM9	3
RFPL4B	RFPL4B	3
RNF217	RNF217	3
RPL10L	RPL10L	3
SATL1	SATL1	3
SLC35A3	SLC35A3	3
SLC44A5	SLC44A5	3
PPP4R3CP	PPP4R3CP	3
SPC24	SPC24	3
SSX1	SSX1	3
SSX2	SSX2	3
SSX3	SSX3	3
SSX4	SSX4	3
SSX5	SSX5	3
SYT1	SYT1	3
TESK2	TESK2	3
TFDP3	TFDP3	3
TGIF2LX	TGIF2LX	3
TUBA3C	TUBA3C	3
VCX	VCX	3
VCX3A	VCX3A	3
ATP23	ATP23	3
ZNF208	ZNF208	3
ZNF257	ZNF257	3
ZNF595	ZNF595	3
ZNF676	ZNF676	3
ZNF716	ZNF716	3
ZNF826P	ZNF826P	3
ZNF99	ZNF99	3
