gene	gene	class
KIR3DL2	KIR3DL2	2
KLRB1	KLRB1	2
LBP	LBP	2
LCK	LCK	2
LCP2	LCP2	2
LDB2	LDB2	2
LILRA1	LILRA1	2
LILRB1	LILRB1	2
LST1	LST1	2
LY9	LY9	2
MAP4K1	MAP4K1	2
MBL2	MBL2	2
MCL1	MCL1	2
MOB3C	MOB3C	2
MRC1	MRC1	2
MS4A6A	MS4A6A	2
MS4A7	MS4A7	2
MT1A	MT1A	2
MT2A	MT2A	2
MYCT1	MYCT1	2
MYO1F	MYO1F	2
MZB1	MZB1	2
NCF1	NCF1	2
NCF4	NCF4	2
NFASC	NFASC	2
NFKBIA	NFKBIA	2
NMUR1	NMUR1	2
NR1I2	NR1I2	2
OR56B1	OR56B1	2
ORM1	ORM1	2
ORM2	ORM2	2
PARVG	PARVG	2
PCK1	PCK1	2
PDE1B	PDE1B	2
PDE2A	PDE2A	2
PDLIM5	PDLIM5	2
PER1	PER1	2
PIK3CD	PIK3CD	2
PIK3R5	PIK3R5	2
PLCB2	PLCB2	2
PPARGC1B	PPARGC1B	2
PPP1R16B	PPP1R16B	2
PRCP	PRCP	2
PRF1	PRF1	2
PRKCH	PRKCH	2
PROS1	PROS1	2
PTGDR	PTGDR	2
PTGER2	PTGER2	2
PTK2B	PTK2B	2
PTPRB	PTPRB	2
PTPRC	PTPRC	2
RASAL3	RASAL3	2
RASGEF1B	RASGEF1B	2
RASGRP2	RASGRP2	2
RBL2	RBL2	2
RBMS3	RBMS3	2
RHOB	RHOB	2
RRN3P1	RRN3P1	2
RRN3P2	RRN3P2	2
RRN3P3	RRN3P3	2
RUNX3	RUNX3	2
SASH3	SASH3	2
SCIMP	SCIMP	2
SDPR	SDPR	2
SERPING1	SERPING1	2
SH2D3C	SH2D3C	2
SIGLEC1	SIGLEC1	2
SIGLEC16	SIGLEC16	2
SLA	SLA	2
SLC10A1	SLC10A1	2
SLC16A2	SLC16A2	2
SLC27A2	SLC27A2	2
SLC9A9	SLC9A9	2
SLED1	SLED1	2
SLIT3	SLIT3	2
SMARCA2	SMARCA2	2
SNORD71	SNORD71	2
SNRK	SNRK	2
SPOCK2	SPOCK2	2
SRGN	SRGN	2
STEAP4	STEAP4	2
STX11	STX11	2
SULT2A1	SULT2A1	2
SVEP1	SVEP1	2
SYNPO2	SYNPO2	2
TAT	TAT	2
TDO2	TDO2	2
TEK	TEK	2
TIE1	TIE1	2
TMC8	TMC8	2
TMEM204	TMEM204	2
TMEM26	TMEM26	2
TMEM88	TMEM88	2
TRANK1	TRANK1	2
TRAV4	TRAV4	2
TRBV20-1	TRBV20-1	2
TRGV1	TRGV1	2
TRGV10	TRGV10	2
TTPA	TTPA	2
TYMP	TYMP	2
VAV1	VAV1	2
WAS	WAS	2
XCR1	XCR1	2
ZBP1	ZBP1	2
ZEB2	ZEB2	2
ACAD10	ACAD10	3
AOC4P	AOC4P	3
APOM	APOM	3
ATP1A1-AS1	ATP1A1-AS1	3
ATP2B2	ATP2B2	3
ATP6AP1L	ATP6AP1L	3
DPH6	DPH6	3
ATRN	ATRN	3
BDH1	BDH1	3
BOD1	BOD1	3
BPHL	BPHL	3
BORCS7	BORCS7	3
ADORA2A-AS1	ADORA2A-AS1	3
C2orf72	C2orf72	3
SUGCT	SUGCT	3
CCNB3	CCNB3	3
CECR2	CECR2	3
CFHR1	CFHR1	3
CHPT1	CHPT1	3
CLDN15	CLDN15	3
ECI2	ECI2	3
EIF4EBP3	EIF4EBP3	3
ELOVL2	ELOVL2	3
FBXO38	FBXO38	3
GOLGA2P5	GOLGA2P5	3
GREB1L	GREB1L	3
HOMEZ	HOMEZ	3
KIAA1161	KIAA1161	3
USF3	USF3	3
LINC00266-1	LINC00266-1	3
LINC00266-3	LINC00266-3	3
LINC00467	LINC00467	3
SRP14-AS1	SRP14-AS1	3
SMLR1	SMLR1	3
PLPPR1	PLPPR1	3
MLXIPL	MLXIPL	3
MPLKIP	MPLKIP	3
MRPL14	MRPL14	3
MTSS1	MTSS1	3
NDST1	NDST1	3
NGEF	NGEF	3
NIPSNAP1	NIPSNAP1	3
NLK	NLK	3
PANK3	PANK3	3
PAQR9	PAQR9	3
PLA2G12B	PLA2G12B	3
POFUT1	POFUT1	3
RALGPS2	RALGPS2	3
RREB1	RREB1	3
SLC30A10	SLC30A10	3
SLC38A3	SLC38A3	3
SNORA71E	SNORA71E	3
SOX13	SOX13	3
SPATA25	SPATA25	3
THRB	THRB	3
THRB-IT1	THRB-IT1	3
TIRAP	TIRAP	3
TLE1	TLE1	3
TOMM20	TOMM20	3
TSHZ2	TSHZ2	3
TTC31	TTC31	3
UMPS	UMPS	3
UPB1	UPB1	3
USE1	USE1	3
USP30	USP30	3
XYLB	XYLB	3
ZCCHC9	ZCCHC9	3
ZKSCAN3	ZKSCAN3	3
ZNF512B	ZNF512B	3
ZNF563	ZNF563	3
