gene	gene	class
RPL36A	RPL36A	2
RPL38	RPL38	2
RPL9	RPL9	2
RPS11P1	RPS11P1	2
RPS18	RPS18	2
RPS3	RPS3	2
RPS3A	RPS3A	2
RPS5	RPS5	2
RPS6	RPS6	2
RPS7	RPS7	2
RPS9	RPS9	2
RPSA	RPSA	2
RWDD1	RWDD1	2
S100A6	S100A6	2
SEPT7	SEPT7	2
SERPINH1	SERPINH1	2
SET	SET	2
SFT2D1	SFT2D1	2
SLBP	SLBP	2
SLC34A1	SLC34A1	2
SLC44A1	SLC44A1	2
SMC2	SMC2	2
SNRPB2	SNRPB2	2
SNRPG	SNRPG	2
SPC25	SPC25	2
SUMO2	SUMO2	2
SUZ12	SUZ12	2
TES	TES	2
NDC1	NDC1	2
TMSB4X	TMSB4X	2
TOPBP1	TOPBP1	2
TPRKB	TPRKB	2
TSPAN3	TSPAN3	2
TTK	TTK	2
TUBA1B	TUBA1B	2
UBA2	UBA2	2
UBE2D1	UBE2D1	2
USP1	USP1	2
VCL	VCL	2
WDR34	WDR34	2
YWHAB	YWHAB	2
YWHAH	YWHAH	2
YWHAQ	YWHAQ	2
ZADH2	ZADH2	2
ZNF138	ZNF138	2
ZNF532	ZNF532	2
ZWILCH	ZWILCH	2
